epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,2792.74,1.19036,0.61773,1.0489,0.90879,0.86931,0.93488,0.63911,1.11801,0.52644,1.06616,0.0006733,0.0006733,0.0006733
167,2809.54,1.18691,0.61516,1.04936,0.90824,0.87082,0.93457,0.63892,1.11794,0.52545,1.06454,0.00067132,0.00067132,0.00067132
168,2826.27,1.18783,0.61525,1.04979,0.90712,0.87243,0.93455,0.63948,1.11824,0.5244,1.06523,0.00066934,0.00066934,0.00066934
169,2843.22,1.18941,0.61606,1.05016,0.90594,0.87232,0.93431,0.63806,1.12135,0.52507,1.06451,0.00066736,0.00066736,0.00066736
170,2859.94,1.186,0.61702,1.04941,0.91027,0.87105,0.93465,0.63859,1.12158,0.52052,1.06629,0.00066538,0.00066538,0.00066538
171,2876.8,1.17918,0.61254,1.04708,0.90641,0.87427,0.93677,0.63988,1.11099,0.51978,1.06015,0.0006634,0.0006634,0.0006634
172,2893.7,1.19355,0.61813,1.04596,0.90439,0.87687,0.93661,0.63979,1.1099,0.51821,1.06119,0.00066142,0.00066142,0.00066142
173,2910.61,1.18454,0.61821,1.04813,0.90341,0.87987,0.93704,0.64065,1.11186,0.51821,1.06145,0.00065944,0.00065944,0.00065944
174,2927.34,1.1806,0.61342,1.04406,0.90608,0.8755,0.93649,0.6409,1.11575,0.51829,1.06437,0.00065746,0.00065746,0.00065746
175,2944.02,1.18104,0.60935,1.04349,0.91071,0.87361,0.93637,0.63969,1.11412,0.51892,1.06372,0.00065548,0.00065548,0.00065548
176,2961.01,1.17945,0.61207,1.04469,0.90752,0.87827,0.93623,0.6388,1.11159,0.5186,1.06234,0.0006535,0.0006535,0.0006535
177,2977.83,1.17833,0.61228,1.04553,0.90636,0.87688,0.93674,0.64007,1.11057,0.51811,1.06254,0.00065152,0.00065152,0.00065152
178,2994.5,1.18241,0.61117,1.04371,0.90388,0.87805,0.93582,0.63971,1.11323,0.51746,1.06247,0.00064954,0.00064954,0.00064954
179,3011.19,1.17534,0.61203,1.04233,0.90172,0.88026,0.93644,0.63994,1.11329,0.51843,1.06212,0.00064756,0.00064756,0.00064756
180,3028.29,1.18383,0.616,1.04421,0.90484,0.87767,0.93625,0.6402,1.11442,0.51894,1.06346,0.00064558,0.00064558,0.00064558
181,3045.11,1.17585,0.61188,1.04406,0.90848,0.87435,0.9368,0.63944,1.11404,0.51828,1.06357,0.0006436,0.0006436,0.0006436
